,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year▼,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1961,NFL,St. Louis Cardinals,7,7,0,4th of 7,,279,267,12,IvyWillseyProchaskaDrulis,Norton,Etcheverry,Gautt,Randle,10,13,4,5,5,7,12,14,0.9,-2.4,-1.5,-2.6,1.1
1960,NFL,St. Louis Cardinals,6,5,1,4th of 6,,288,230,58,Ivy,Crow,Roach,Crow,Randle,4,2,5,1,8,4,1,13,4.8,0.3,5.2,1.8,3.3
1959,NFL,Chicago Cardinals,2,10,0,6th of 6,,234,324,-90,Ivy,,Hill,Crow,Lewis,10,12,11,10,12,11,11,12,-7.5,-0.7,-8.2,-1.2,-7.1
1958,NFL,Chicago Cardinals,2,9,1,5th of 6,,261,356,-95,Ivy,,Reynolds,Matson,Lewis,5,6,11,12,12,11,11,12,-7.9,0.5,-7.4,0.8,-8.2
1957,NFL,Chicago Cardinals,3,9,0,6th of 6,,200,299,-99,Richards,,McHan,Matson,Nagler,10,10,11,10,10,12,10,12,-8.3,0.7,-7.6,-1.1,-6.4
1956,NFL,Chicago Cardinals,7,5,0,2nd of 6,,240,182,58,Richards,,McHan,Matson,Stonesifer,7,8,2,7,1,4,8,12,4.8,-1.4,3.4,-0.1,3.5
1955,NFL,Chicago Cardinals,4,7,1,4th of 6,,224,252,-28,Richards,,McHan,Matson,Stonesifer,9,12,8,7,6,9,12,12,-2.3,3.6,1.2,-0.7,2.0
1954,NFL,Chicago Cardinals,2,10,0,6th of 6,,183,347,-164,Stydahar,,McHan,Matson,Matson,11,10,11,9,10,11,11,12,-13.7,-0.8,-14.5,-7.6,-6.9
1953,NFL,Chicago Cardinals,1,10,1,6th of 6,,190,337,-147,Stydahar,,Root,Trippi,Stonesifer,10,10,10,10,11,11,11,12,-12.3,2.6,-9.6,-3.7,-5.9
1952,NFL,Chicago Cardinals,4,8,0,5th of 6,,172,221,-49,Kuharich,,Trippi,Trippi,Stonesifer,12,11,3,6,7,10,8,12,-4.1,0.0,-4.1,-8.5,4.4
1951,NFL,Chicago Cardinals,3,9,0,6th of 6,,210,287,-77,LambeauIsbellHandler,,Trippi,Trippi,Polsfoot,10,5,9,6,6,9,6,12,-6.4,2.5,-3.9,-1.9,-1.9
1950,NFL,Chicago Cardinals,5,7,0,5th of 6,,233,287,-54,Lambeau,,Hardy,Harder,Shaw,9,8,7,9,7,9,10,13,-4.5,5.7,1.2,2.9,-1.7
1949,NFL,Chicago Cardinals,6,5,1,3rd of 5,,360,301,59,ParkerHandler,,Christman,Angsman,Kutner,2,5,7,8,2,4,7,10,4.9,-0.2,4.7,7.8,-3.1
1948,NFL,Chicago Cardinals*,11,1,0,1st of 5,Lost Champ,395,226,169,Conzelman,,Mallouf,Trippi,Kutner,1,1,3,7,1,3,4,10,14.1,-0.9,13.2,9.9,3.3
1947,NFL,Chicago Cardinals*,9,3,0,1st of 5,Won Champ,306,231,75,Conzelman,,Christman,Angsman,Kutner,3,3,3,7,3,2,4,10,6.3,1.9,8.1,4.4,3.7
