,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1958,NFL,Washington Redskins,4,7,1,4th of 6,,214,268,-54,Kuharich,,LeBaron,Olszewski,Walton,11,8,6,10,4,8,10,12,-4.5,-0.7,-5.2,-5.1,-0.2
1957,NFL,Washington Redskins,5,6,1,4th of 6,,251,230,21,Kuharich,,LeBaron,Bosseler,Carson,6,7,5,7,8,5,8,12,1.8,-0.3,1.4,2.3,-0.9
1956,NFL,Washington Redskins,6,6,0,3rd of 6,,183,225,-42,Kuharich,,Dorow,Elter,Carson,10,11,6,4,8,8,9,12,-3.5,-0.2,-3.7,-3.7,-0.1
1955,NFL,Washington Redskins,8,4,0,2nd of 6,,246,222,24,Kuharich,,LeBaron,Janowicz,Carson,7,11,2,3,7,5,5,12,2.0,2.3,4.3,1.0,3.3
1954,NFL,Washington Redskins,3,9,0,5th of 6,,207,432,-225,Kuharich,,Dorow,Wells,Taylor,10,11,12,12,12,12,12,12,-18.8,-0.9,-19.7,-3.6,-16.1
1953,NFL,Washington Redskins,6,5,1,3rd of 6,,208,215,-7,Lambeau,,LeBaron,Justice,Taylor,8,8,3,7,8,6,7,12,-0.6,-0.4,-1.0,-4.3,3.2
1952,NFL,Washington Redskins,4,8,0,5th of 6,,240,287,-47,Lambeau,,LeBaron,Heath,Taylor,9,6,9,7,9,9,7,12,-3.9,1.1,-2.8,-0.8,-2.0
1951,NFL,Washington Redskins,5,7,0,3rd of 6,,183,296,-113,ToddBall,,Baugh,Goode,Taylor,11,9,10,10,11,10,10,12,-9.4,1.6,-7.8,-5.1,-2.7
1950,NFL,Washington Redskins,3,9,0,6th of 6,,232,326,-94,Ball,,Baugh,Goode,Taylor,10,7,10,8,12,11,9,13,-7.8,2.8,-5.0,-0.1,-4.8
1949,NFL,Washington Redskins,4,7,1,4th of 5,,268,339,-71,WhelchelBall,,Baugh,Goode,Taylor,6,4,9,10,9,8,6,10,-5.9,0.4,-5.5,0.5,-6.1
1948,NFL,Washington Redskins,7,5,0,2nd of 5,,291,287,4,Edwards,,Baugh,Castiglia,Crisler,6,4,6,6,6,5,5,10,0.3,-2.0,-1.6,0.5,-2.2
1947,NFL,Washington Redskins,4,8,0,4th of 5,,295,367,-72,Edwards,,Baugh,Castiglia,Saenz,4,2,10,8,9,7,2,10,-6.0,-1.7,-7.7,2.7,-10.4
1946,NFL,Washington Redskins,5,5,1,3rd of 5,,171,191,-20,Edwards,,Baugh,Todd,Bagarus,7,4,4,1,9,8,2,10,-1.8,-0.3,-2.2,-2.8,0.6
1945,NFL,Washington Redskins*,8,2,0,1st of 5,Lost Champ,209,121,88,DeGroot,,Baugh,Akins,Bagarus,4,1,1,2,3,3,1,10,8.8,-4.8,4.0,0.3,3.8
1944,NFL,Washington Redskins,6,3,1,3rd of 5,,169,180,-11,DeGroot,,Filchock,Seymour,Moore,7,3,7,6,7,6,4,11,-1.1,-1.7,-2.8,-0.9,-1.9
1943,NFL,Washington Redskins*,6,3,1,1st of 5,Lost Champ,229,137,92,Bergman,,Baugh,Farkas,Moore,3,3,1,3,3,2,4,10,9.2,-2.6,6.6,2.2,4.4
1942,NFL,Washington Redskins*,10,1,0,1st of 5,Won Champ,227,102,125,Flaherty,,Baugh,Farkas,Todd,3,3,2,2,7,2,2,10,11.4,-3.8,7.6,4.9,2.7
1941,NFL,Washington Redskins,6,5,0,3rd of 5,,176,174,2,Flaherty,,Baugh,Filchock,Millner,4,5,5,3,7,5,4,10,0.2,-1.5,-1.4,-1.6,0.2
1940,NFL,Washington Redskins*,9,2,0,1st of 5,Lost Champ,245,142,103,Flaherty,,Baugh,Todd,Todd,1,2,3,9,8,1,3,10,9.4,-2.9,6.5,7.3,-0.8
1939,NFL,Washington Redskins,8,2,1,2nd of 5,,242,94,148,Flaherty,,Filchock,Farkas,Farkas,2,2,2,1,4,1,2,10,13.5,-4.5,9.0,5.6,3.4
1938,NFL,Washington Redskins,6,3,2,2nd of 5,,148,154,-6,Flaherty,,Baugh,Farkas,Malone,5,2,5,3,9,5,1,10,-0.5,-0.5,-1.1,0.1,-1.1
1937,NFL,Washington Redskins*,8,3,0,1st of 5,Won Champ,195,120,75,Flaherty,,Baugh,Battles,Malone,3,2,4,1,5,3,2,10,6.8,-3.8,3.0,3.5,-0.6
1936,NFL,Boston Redskins*,7,5,0,1st of 5,Lost Champ,149,110,39,Flaherty,,Britt,Battles,Millner,4,6,3,1,3,4,3,9,3.3,-3.0,0.3,-1.0,1.3
1935,NFL,Boston Redskins,2,8,1,4th of 5,,65,123,-58,Casey,,Shepherd,Shepherd,Malone,8,5,6,5,8,7,5,9,-5.3,-0.8,-6.1,-6.1,0.0
1934,NFL,Boston Redskins,6,6,0,2nd of 5,,107,94,13,Dietz,,Hokuf,Battles,Malone,7,8,5,6,8,6,7,11,1.1,-0.8,0.2,-1.7,2.0
1933,NFL,Boston Redskins,5,5,2,3rd of 5,,103,97,6,Dietz,,Musick,Musick,Battles,6,2,5,7,7,6,6,10,0.5,1.4,1.9,-0.8,2.7
1932,NFL,Boston Braves,4,4,2,4th of 8,,55,79,-24,Wray,,Hughes,Battles,Battles,7,7,4,1,8,5,7,8,-2.4,-1.6,-4.0,-4.0,-0.1
